id,type,domain,enabled,date_added,date_modified,comment
53,0,cse.google.com,1,1618324103,1618324103,"Google Custom Search. Often used as a search functionality inside a website. https://programmablesearchengine.google.com/about/ - qjz9zk"
54,0,ctldl.windowsupdate.com,1,1618324103,1618324103,"Owned by Microsoft. Used to deliver Windows updates. - qjz9zk"
55,0,cws.conviva.com,1,1618324103,1618324103,"Conviva offers online video optimization and online video analytics. But it is neccessary to whitelist in order to watch many online contents which uses Conviva. - qjz9zk"
56,0,livepassdl.conviva.com,1,1618324104,1618324104,"Conviva offers online video optimization and online video analytics. But it is neccessary to whitelist in order to watch many online contents which uses Conviva. - qjz9zk"
57,0,zee.cws.conviva.com,1,1618324104,1618324104,"Conviva offers online video optimization and online video analytics. But it is neccessary to whitelist in order to watch many online contents which uses Conviva. - qjz9zk"
58,0,pings.conviva.com,1,1618324104,1618324104,"Conviva offers online video optimization and online video analytics. But it is neccessary to whitelist in order to watch many online contents which uses Conviva. - qjz9zk"
59,0,gfwsl.geforce.com,1,1618324104,1618324104,"Used for checking nVidia driver updates. - qjz9zk"
60,0,appspot-preview.l.google.com,1,1618324104,1618324104,"Used to deliver system updates to Moto phones. - qjz9zk"
61,0,d2c8v52ll5s99u.cloudfront.net,1,1618324104,1618324104,"Domain owned by Amazon. Used to deliver media such as videos in entertainment and news sites. - qjz9zk"
62,0,d2gatte9o95jao.cloudfront.net,1,1618324104,1618324104,"Domain owned by Amazon. Used to deliver media such as videos in entertainment and news sites. - qjz9zk"
63,0,dashboard.plex.tv,1,1618324104,1618324104,"Plex is a client–server media player system plus an ancillary software suite. - qjz9zk"
64,0,dataplicity.com,1,1618324104,1618324104,"Used to remotely control your Raspberry-Pi. - qjz9zk"
65,0,def-vef.xboxlive.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
66,0,delivery.vidible.tv,1,1618324104,1618324104,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
67,0,dev.virtualearth.net,1,1618324104,1618324104,"Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com.  - qjz9zk"
68,0,device.auth.xboxlive.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
69,0,display.ugc.bazaarvoice.com,1,1618324104,1618324104,"To display Ratings & Reviews or Questions & Answers in online stores. - qjz9zk"
70,0,displaycatalog.mp.microsoft.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
71,0,dl.delivery.mp.microsoft.com,1,1618324104,1618324104,"Used to deliver updates to Microsoft products. - qjz9zk"
72,0,dl.dropbox.com,1,1618324104,1618324104,"Used to download files from Dropbox - qjz9zk"
73,0,dl.dropboxusercontent.com,1,1618324104,1618324104,"Used to download files from Dropbox - qjz9zk"
74,0,dns.msftncsi.com,1,1618324104,1618324104,"Owned by Microsoft. Used to check whether the internet connection is up or not in Windows systems.  - qjz9zk"
75,0,download.sonarr.tv,1,1618324104,1618324104,"Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk"
76,0,drift.com,1,1618324104,1618324104,"Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk"
77,0,driftt.com,1,1618324104,1618324104,"Live chat platform for websites to chat with the website owner. Blocking this domain will block chat widget. - qjz9zk"
78,0,dynupdate.no-ip.com,1,1618324104,1618324104,"No-IP offers DNS services, email, network monitoring and SSL certificates - qjz9zk"
79,0,ecn.dev.virtualearth.net,1,1618324104,1618324104,"Owned by Microsoft. Used by Bing Maps to get information about various places. For example, this domain should be whitelisted in order to select a store location on costco.com. - qjz9zk"
80,0,edge.api.brightcove.com,1,1618324104,1618324104,"Video delivery systems, popular in entertainment and news sites. - qjz9zk"
81,0,eds.xboxlive.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
82,0,fonts.gstatic.com,1,1618324104,1618324104,"Owned by Google. Used to deliver Google Fonts. - qjz9zk"
83,0,forums.sonarr.tv,1,1618324104,1618324104,"Sonarr is a PVR for Usenet and BitTorrent users. It can monitor multiple RSS feeds for new episodes of your favorite shows and will grab, sort and rename them. It can also be configured to automatically upgrade the quality of files already downloaded when a better quality format becomes available. - qjz9zk"
84,0,g.live.com,1,1618324104,1618324104,"Used by Microsoft for their Outlook.com and OneDrive products. Backup bitlocker recovery key to Microsoft account. - qjz9zk"
85,0,geo-prod.do.dsp.mp.microsoft.com,1,1618324104,1618324104,"Enables connections to Windows Update. - qjz9zk"
86,0,geo3.ggpht.com,1,1618324104,1618324104,"Owned by Google. Used to deliver static files over the internet. - qjz9zk"
87,0,giphy.com,1,1618324104,1618324104,"Gifs hosting platform. - qjz9zk"
88,0,github.com,1,1618324104,1618324104,"GitHub provides hosting for software development and version control using Git. - qjz9zk"
89,0,github.io,1,1618324104,1618324104,"Owned by GitHub. Used for GitHub pages. - qjz9zk"
90,0,googleapis.com,1,1618324104,1618324104,"An important domain used to provide APIs to various Google services. - qjz9zk"
91,0,gravatar.com,1,1618324104,1618324104,"Owned by Automattic. Gravatar is a service for providing globally unique avatars - qjz9zk"
92,0,gstatic.com,1,1618324104,1618324104,"Owned by Google. gstatic.com is a cookieless domain to deliver static content for Google. - qjz9zk"
93,0,help.ui.xboxlive.com,1,1618324104,1618324104,"Owned by Microsoft. Used for Xbox updates, game downloads, acheivements unlocking etc. - qjz9zk"
